Keyword,Keyword_Length_Score,Search_Volume_Capped,Search_Volume_Log,Search_Volume_Scaled,Ranking Difficulty Score,Ranking Difficulty Scaled,Total Monthly Clicks Filled,Total Monthly Clicks Capped,Total Monthly Clicks Log,Total Monthly Clicks Scaled,Broad CPC Score,Is Question Flag,NSFW Score
funnel science predictive sales and marketing anylysis,3,230.0,5.442417710521793,0.751202432167785,100.0,1.0,190.0,190.0,5.25227342804663,0.7602344555305266,1,0,1
marketing and sales funnel,2,230.0,5.442417710521793,0.751202432167785,64.0,0.64,125.0,125.0,4.836281906951478,0.7000222270779219,1,0,1
car sales funnel,1,220.0,5.3981627015177525,0.7450940310549541,88.0,0.88,135.0,135.0,4.912654885736052,0.711076748655853,0,0,1
marketing sales funnel,1,220.0,5.3981627015177525,0.7450940310549541,56.0,0.56,120.0,120.0,4.795790545596741,0.6941613501691095,0,0,1
sales and marketing funnel,2,220.0,5.3981627015177525,0.7450940310549541,62.0,0.62,110.0,110.0,4.709530201312334,0.6816756929067226,1,0,1
sales funnel software,1,220.0,5.3981627015177525,0.7450940310549541,76.0,0.76,145.0,145.0,4.983606621708336,0.7213465784933099,0,0,1
consulting sales funnel,1,220.0,5.3981627015177525,0.7450940310549541,100.0,1.0,180.0,180.0,5.198497031265826,0.7524506509957629,1,0,1
social media sales funnel,2,220.0,5.3981627015177525,0.7450940310549541,81.0,0.81,220.0,220.0,5.3981627015177525,0.7813510355990383,1,0,1
activecampaign sales funnel,1,217.0,5.384495062789089,0.7432075232562025,100.0,1.0,12.0,12.0,2.5649493574615367,0.3712607321280216,1,0,1
drag and drop sales funnel builder,3,200.0,5.303304908059076,0.7320010622777752,100.0,1.0,200.0,200.0,5.303304908059076,0.7676209501511251,1,0,1
used coin funnel for sale,3,200.0,5.303304908059076,0.7320010622777752,83.0,0.83,165.0,165.0,5.111987788356544,0.7399289671797024,1,0,1
online sales funnel tool,2,200.0,5.303304908059076,0.7320010622777752,100.0,1.0,150.0,150.0,5.017279836814924,0.7262205704328422,1,0,1
how to use sales funnel,3,200.0,5.303304908059076,0.7320010622777752,69.0,0.69,125.0,125.0,4.836281906951478,0.7000222270779219,0,1,1
sales funnel excel template,2,200.0,5.303304908059076,0.7320010622777752,78.0,0.78,190.0,190.0,5.25227342804663,0.7602344555305266,1,0,1
sales funnel for shopify,2,200.0,5.303304908059076,0.7320010622777752,79.0,0.79,180.0,180.0,5.198497031265826,0.7524506509957629,1,0,1
sales funnel consultant,1,200.0,5.303304908059076,0.7320010622777752,87.0,0.87,180.0,180.0,5.198497031265826,0.7524506509957629,0,0,1
done for you sales funnel system,3,200.0,5.303304908059076,0.7320010622777752,74.0,0.74,165.0,165.0,5.111987788356544,0.7399289671797024,1,0,1
sales funnel vs store,2,190.0,5.25227342804663,0.7249573229065104,100.0,1.0,190.0,190.0,5.25227342804663,0.7602344555305266,1,0,1
tool to develop a visual template for a sales funnel that you can fill in,3,190.0,5.25227342804663,0.7249573229065104,100.0,1.0,180.0,180.0,5.198497031265826,0.7524506509957629,1,0,1
amazon sales funnels,1,190.0,5.25227342804663,0.7249573229065104,100.0,1.0,165.0,165.0,5.111987788356544,0.7399289671797024,1,0,1
building a sales funnel financial advisor,3,190.0,5.25227342804663,0.7249573229065104,100.0,1.0,190.0,190.0,5.25227342804663,0.7602344555305266,1,0,1
mortgage sales funnel,1,190.0,5.25227342804663,0.7249573229065104,100.0,1.0,125.0,125.0,4.836281906951478,0.7000222270779219,1,0,1
sales funnel for web design,3,190.0,5.25227342804663,0.7249573229065104,100.0,1.0,180.0,180.0,5.198497031265826,0.7524506509957629,1,0,1
email sales funnels,1,190.0,5.25227342804663,0.7249573229065104,74.0,0.74,150.0,150.0,5.017279836814924,0.7262205704328422,1,0,1
components of a sales funnel,3,190.0,5.25227342804663,0.7249573229065104,100.0,1.0,125.0,125.0,4.836281906951478,0.7000222270779219,1,0,1
2 step sales funnel,2,190.0,5.25227342804663,0.7249573229065104,79.0,0.79,165.0,165.0,5.111987788356544,0.7399289671797024,1,0,1
a sales funnel infographic,2,190.0,5.25227342804663,0.7249573229065104,100.0,1.0,190.0,190.0,5.25227342804663,0.7602344555305266,1,0,1
sales funnel template word,2,190.0,5.25227342804663,0.7249573229065104,100.0,1.0,180.0,180.0,5.198497031265826,0.7524506509957629,1,0,1
excel sales funnel tracking template,3,190.0,5.25227342804663,0.7249573229065104,100.0,1.0,190.0,190.0,5.25227342804663,0.7602344555305266,1,0,1
sales funnel done for you,3,190.0,5.25227342804663,0.7249573229065104,79.0,0.79,190.0,190.0,5.25227342804663,0.7602344555305266,1,0,1
sales funnel affiliate programs,2,190.0,5.25227342804663,0.7249573229065104,84.0,0.84,110.0,110.0,4.709530201312334,0.6816756929067226,1,0,1
sales funnel plr,1,190.0,5.25227342804663,0.7249573229065104,91.0,0.91,190.0,190.0,5.25227342804663,0.7602344555305266,0,0,1
5 simple steps to creating a winning sales funnel,3,180.0,5.198497031265826,0.717534709979013,100.0,1.0,180.0,180.0,5.198497031265826,0.7524506509957629,1,0,1
strategies for testing and optimizing sales funnels,3,180.0,5.198497031265826,0.717534709979013,100.0,1.0,180.0,180.0,5.198497031265826,0.7524506509957629,1,0,1
mailchimp sales funnel,1,180.0,5.198497031265826,0.717534709979013,100.0,1.0,135.0,135.0,4.912654885736052,0.711076748655853,1,0,1
sales funnel for mlm,2,180.0,5.198497031265826,0.717534709979013,85.0,0.85,55.0,55.0,4.02535169073515,0.5826450379722601,0,0,1
ecommerce sales funnel,1,180.0,5.198497031265826,0.717534709979013,79.0,0.79,105.0,105.0,4.663439094112067,0.6750042870351083,1,0,1
marketing sales funnel system,2,180.0,5.198497031265826,0.717534709979013,100.0,1.0,100.0,100.0,4.61512051684126,0.6680104684941067,1,0,1
webinar sales funnel,1,180.0,5.198497031265826,0.717534709979013,82.0,0.82,125.0,125.0,4.836281906951478,0.7000222270779219,1,0,1
how to create a sales funnel website,3,180.0,5.198497031265826,0.717534709979013,65.0,0.65,80.0,80.0,4.394449154672439,0.6360696384577723,1,1,1
sales funnel analysis,1,180.0,5.198497031265826,0.717534709979013,75.0,0.75,180.0,180.0,5.198497031265826,0.7524506509957629,1,0,1
high ticket sales funnel,2,180.0,5.198497031265826,0.717534709979013,88.0,0.88,165.0,165.0,5.111987788356544,0.7399289671797024,1,0,1
lead generation sales funnel,2,180.0,5.198497031265826,0.717534709979013,76.0,0.76,90.0,90.0,4.51085950651685,0.6529193249154452,1,0,1
sale funnel,0,180.0,5.198497031265826,0.717534709979013,100.0,1.0,65.0,65.0,4.189654742026425,0.6064268997606098,0,0,1
wordpress sales funnel theme,2,180.0,5.198497031265826,0.717534709979013,100.0,1.0,165.0,165.0,5.111987788356544,0.7399289671797024,1,0,1
affiliate sales funnel,1,180.0,5.198497031265826,0.717534709979013,84.0,0.84,70.0,70.0,4.2626798770413155,0.6169968414284669,1,0,1
online sales funnel strategy,2,180.0,5.198497031265826,0.717534709979013,73.0,0.73,12.0,12.0,2.5649493574615367,0.3712607321280216,1,0,1
sales funnel website,1,180.0,5.198497031265826,0.717534709979013,60.0,0.6,115.0,115.0,4.7535901911063645,0.6880531069562045,1,0,1
plr sales funnels,1,180.0,5.198497031265826,0.717534709979013,86.0,0.86,140.0,140.0,4.948759890378168,0.7163027272577009,1,0,1
real estate sales funnel,2,180.0,5.198497031265826,0.717534709979013,84.0,0.84,180.0,180.0,5.198497031265826,0.7524506509957629,1,0,1
sales funnel marketing,1,180.0,5.198497031265826,0.717534709979013,58.0,0.58,115.0,115.0,4.7535901911063645,0.6880531069562045,0,0,1
